t	X1	Y1	X2	Y2	X3	Y3	X4	Y4	X5	Y5	X6	Y6
71	1.053282227	0.400535983	-1.144439883	-0.129698466	0.039969176	0.113302092	-0.56187424	-0.319062617	0.261148373	-0.47943245	0.158728901	-0.394479331
72	-0.047717489	1.23473935	-1.03857271	1.007366964	-0.252457236	0.687739262	-0.403638233	0.170874878	-0.018243136	0.118326774	-0.238049913	-0.012403995
73	-0.000150885	0.858732799	-1.258849846	0.1316151	-0.570465431	0.445723998	-0.551132348	0.280986974	-0.192508996	0.336165828	-0.094864508	1.019032776
74	-0.167834785	0.448891343	-1.084367217	0.365874194	-0.322448178	0.9312527	-0.718194143	-0.595011697	0.551299073	-0.689685575	0.110526676	-0.264556497
75	-0.095071861	1.068042258	-1.206003277	0.207354347	-0.405524153	1.150795795	-0.367514754	0.405353956	-0.089148784	-0.301933117	0.68881387	-0.208142742
76	0.032446976	0.197314237	-0.975159381	0.443213788	-0.411942889	0.574473859	-0.811040854	-0.630343813	0.460872774	-0.823410658	0.408614179	-0.147621018
77	0.231162919	-0.078487043	-0.255327111	-0.03755652	-0.096243403	1.063491729	-0.401568985	0.133155271	-0.205491664	-0.327381989	1.142498357	-0.287804452
78	0.015808779	0.337074858	-1.017775917	0.72431283	-0.269828813	0.703577277	-0.724419904	0.124322921	-0.136459535	0.004122098	-0.222963266	0.021387194
79	0.308911692	0.41368294	-1.194152972	0.740229736	-0.38191061	1.147221652	-0.461957615	-0.345381436	0.061923323	-0.814570182	0.061238525	-0.246603475
80	0.00129422	0.395682581	-0.839929633	0.64109446	-0.454767966	1.241468212	-0.636904443	0.246406199	-0.416736521	-0.089278063	0.032526263	-0.29142466
81	0.125656391	0.362152048	-0.890162044	0.700395102	-0.359336032	0.561756151	-0.675535063	-0.591075559	0.926263247	-0.519861966	0.86558845	-0.195875028
82	0.211116635	0.416539921	-1.235268866	0.290837076	-0.541235828	1.201535401	-0.664816835	0.127444061	-0.371357218	0.704002517	-0.221216519	0.694152574
83	0.215535232	0.346671532	-1.210745527	0.684065621	-0.275108546	0.790425124	-0.665392852	0.233849715	0.040686673	-0.450973304	0.641459759	-0.390468445
84	0.075748294	0.1897759	-1.186992495	0.717336518	-0.691541332	1.499804883	-0.616519423	-0.778691908	0.528252623	-0.470584522	0.225094643	-0.257200946
